pk_id_milestone_status_info,version,date_from,date_to,id,"outcome_sumary","milestone_evidence","other_reason","gender_justification","youth_justification","capdev_justification","climate_justification"
128,1,1900-01-01 00:00:00,2200-01-01 00:00:00,215,"This outcome focuses on promoting and supporting semantic and other standards across CGIAR to enhance CGIAR's FAIR data assets and effectively position CGIAR as a leader in the digital agriculture arena. Notable milestones in 2018 include: Release of the CG Core Metadata Schema v. 2.0 draft; completion of the Agronomy Ontology; user-testing of the ontology-powered Agronomy Field Information Management System (AgroFIMS) prototype producing agronomy field books for digital data collection with semantic, standards-compliant metadata and data (standardized column headings within datasets etc.). This work, and development of a draft Socioeconomic Ontology (SociO), relies heavily on partnerships.","Adoption of semantic standards to enhance FAIRness of CGIAR's data assets was promoted through text and data mining webinars, (https://sites.google.com/a/cgxchange.org/oad-support-pack/2018-events/webinar-text-mining-and-semantic-resources-for-agriculture-food-science;https://sites.google.com/a/cgxchange.org/oad-support-pack/2018-events/webinar-describing-community-data-consequences-opportunities-for-knowledge-workers) during sessions of the PhenoHarmonis workshop, (https://bigdata.cgiar.org/event/phenoharmonis-workshop/) support for CGIAR's Ontology, Metadata, and Dataverse working groups, and through sessions at the October data and information specialists meeting in Kenya (https://sites.google.com/a/cgxchange.org/oad-support-pack/2018-events/2018-oawg-dmtf-annual-meeting).",,"Discovery, interpretation, and aggregation of gender-related datasets is improved through the adoption of standards ","Discovery, interpretation, and aggregation of youth-related datasets is improved through the adoption of standards ","Easy discovery, interpretation, and aggregation of data enhances capacity","Discovery, interpretation, and aggregation of climate change-related datasets is improved through the adoption of standards "
129,1,1900-01-01 00:00:00,2200-01-01 00:00:00,216,"This outcome focuses on promoting and supporting semantic and other standards across CGIAR to enhance CGIAR's FAIR data assets and effectively position CGIAR as a leader in the digital agriculture arena. Notable milestones in 2018 include: Release of the CG Core Metadata Schema v. 2.0 draft; completion of the Agronomy Ontology; user-testing of the ontology-powered Agronomy Field Information Management System (AgroFIMS) prototype producing agronomy field books for digital data collection with semantic, standards-compliant metadata and data (standardized column headings within datasets etc.). This work, and development of a draft Socioeconomic Ontology (SociO), relies heavily on partnerships.","Draft classes and sub-classes for SociO were developed in 2018 to capture concepts represented by 100 questions identified as common across CGIAR surveys (https://www.dropbox.com/s/rga7sghtcv67am2/100Q_v1.pdf?dl=0). This effort has been led by the Socioeconomic Development Community of Practice (SeD CoP), spearheaded by CIMMYT, IFPRI, ILRI, and others, under Modules 1 and 2.",,"SociO will enable harmonized annotation of gender concepts, leading to enhanced discovery, interpretation, and reuse of gender-related data","SociO will enable harmonized annotation of concepts relating to youth in agriculture, leading to enhanced discovery, interpretation, and reuse of youth-related data","Improved and standardized annotations of socioeconomic data assets will enhance capacity","Improved and standardized annotations of socioeconomic data assets will enhance interpretation of climate change-related data assets"
130,1,1900-01-01 00:00:00,2200-01-01 00:00:00,217,"This outcome focuses on promoting and supporting semantic and other standards across CGIAR to enhance CGIAR's FAIR data assets and effectively position CGIAR as a leader in the digital agriculture arena. Notable milestones in 2018 include: Release of the CG Core Metadata Schema v. 2.0 draft; completion of the Agronomy Ontology; user-testing of the ontology-powered Agronomy Field Information Management System (AgroFIMS) prototype producing agronomy field books for digital data collection with semantic, standards-compliant metadata and data (standardized column headings within datasets etc.). This work, and development of a draft Socioeconomic Ontology (SociO), relies heavily on partnerships.","Module 1
supported the development and adoption of agrisemantics standards in 2018,
through funding and intellectual support for the PhenoHarmonis
workshop for over 100 participants from within and beyond CGIAR (https://sites.google.com/a/cgxchange.org/cropontologycommunity/2018-phenoharmonis), and wider domain engagement including 35-40 presentations, keynotes, panels discussions (e.g. RDA-IGAD, DCMI:http://www.dublincore.org/conferences/2018/keynotes/, SWAT4LS:http://www.swat4ls.org/workshops/antwerp2018/keynotes/), and two agrisemantics concept notes.",,"Discovery, interpretation, and aggregation of gender-related datasets is improved through the use of accepted standards ","Discovery, interpretation, and aggregation of youth-related datasets is improved through the use of accepted standards ","Agrisemantics-mediated discovery, interpretation, and aggregation of datasets enhances capdev","Discovery, interpretation, and aggregation of climate change-relevant datasets is improved through the use of accepted standards "
131,1,1900-01-01 00:00:00,2200-01-01 00:00:00,218,"2018 activities towards this outcome were focused on developing training materials and guides on achieving
and managing FAIR data, including licensing, privacy/ ethics, and
best practices in data management. Module 1 and 2 worked together to make available a course and online seminar on the General Data Protection Regulation (https://bigdata-cgiar.course.tc/catalog/course/gdpr-for-international-development). Support was provided to Centers for data
sprints to promote the upload of well-annotated datasets to repositories, and for 3 workshops on ways to improve the FAIRness of CGIAR data assets.","Several in-person and virtual presentations were organized through Platform-supported CoPs and working groups to enhance CGIAR data management and FAIRness of research outputs, including on: ontologies and vocabularies for data annotation; several tools to ease metadata entry and compliance; licensing; and best practices in addressing privacy and ethics (https://sites.google.com/a/cgxchange.org/oad-support-pack/2018-events/2018-oawg-dmtf-annual-meeting;https://cgiar.sharepoint.com/sites/CGIARData&amp;InformationManagementCommmunityofPractice).",,"All workshops aimed for gender balance in promoting and encouraging attendance","Not relevant","These events were entirely focused on capdev","Not directly relevant"
132,1,1900-01-01 00:00:00,2200-01-01 00:00:00,219,"2018 activities towards this outcome were focused on developing training materials and guides on achieving
and managing FAIR data, including licensing, privacy/ ethics, and
best practices in data management. Module 1 and 2 worked together to make available a course and online seminar on the General Data Protection Regulation (https://bigdata-cgiar.course.tc/catalog/course/gdpr-for-international-development). Support was provided to Centers for data
sprints to promote the upload of well-annotated datasets to repositories, and for 3 workshops on ways to improve the FAIRness of CGIAR data assets.","Module 1 funds were used by Centers to organize 34 trainings and 18 data sprints to help researchers better annotate datasets using semantic standards and CG Core metadata, and to sensitize them to FAIR resources. About 40% of approximately 1100 datasets uploaded were a direct result of these sprints. https://gardian.bigdata.cgiar.org/analytics.php#!/",,"Data sprints aimed for gender balance in promoting and encouraging attendance","Not relevant","Data sprints focused on enhancing researcher capacity to annotate and upload data","Not directly relevant"
133,1,1900-01-01 00:00:00,2200-01-01 00:00:00,220,"2018 activities towards this outcome were focused on developing training materials and guides on achieving
and managing FAIR data, including licensing, privacy/ ethics, and
best practices in data management. Module 1 and 2 worked together to make available a course and online seminar on the General Data Protection Regulation (https://bigdata-cgiar.course.tc/catalog/course/gdpr-for-international-development). Support was provided to Centers for data
sprints to promote the upload of well-annotated datasets to repositories, and for 3 workshops on ways to improve the FAIRness of CGIAR data assets.","Guidance and a course on addressing privacy and ethics in CGIAR datasets were developed in consultation with Centers (https://bigdata.cgiar.org/responsible-data-guidelines/;https://bigdata-cgiar.course.tc/catalog/course/gdpr-for-international-development). Webinars and a presentations/discussions at the CGIAR data management and information specialist meeting in Kenya (referenced above) also helped build capacity on best practices in FAIR data management.",,"Not directly relevant","Not directly relevant","Principal focus of milestone is capacity development","Not directly relevant"
134,1,1900-01-01 00:00:00,2200-01-01 00:00:00,221,"Important sets of pre-bred lines and source germplasm was made available for drought tolerance, tar spot disease resistance and maize lethal necrosis tolerance.In addition, progress was made in developing and/or validating novel tools for: 1) discovery and use of novel diversity from germplasm accessions, and 2) enhancing the efficiency of doubled haploid technologies to accelerate breeding progress.Formal capacity development activities, e.g. student thesis projects and formal workshops, are not highlighted in this report, but were/are an important component of FP2 strategy to enhance the effectiveness of MAIZE researchers worldwide.","Novel methods to shorten the time required to identify haploid embryos were developed and will be validated and deployed in 2019. These will reduce the cost and/or time of producing DH lines for breeding programs.the discovery research was completed and validation initiated in 2018.&nbsp; Validation and deployment will be completed in 2019.",,"DH is a gender-neutral technology","DH is a user-age-neutral technology","Enhancing DH efficiency will enhance capacity of researchers/breeders to develop improved varieties","All climate change related breeding targets will benefit from enhanced DH efficiency"
135,1,1900-01-01 00:00:00,2200-01-01 00:00:00,222,"Important sets of pre-bred lines and source germplasm was made available for drought tolerance, tar spot disease resistance and maize lethal necrosis tolerance.In addition, progress was made in developing and/or validating novel tools for: 1) discovery and use of novel diversity from germplasm accessions, and 2) enhancing the efficiency of doubled haploid technologies to accelerate breeding progress.Formal capacity development activities, e.g. student thesis projects and formal workshops, are not highlighted in this report, but were/are an important component of FP2 strategy to enhance the effectiveness of MAIZE researchers worldwide.","68 ears from 4 large landrace-based
genomic selection pre-breeding populations selected for potential tolerance to
drought, heat and low soil nitrogen based on calculated genomic estimate of
breeding values - evidenced by breeding trial and analysis files in
institutional data repositories.&nbsp;524 landrace accessions identified using
GIS selection with potential for salinity tolerance - evidenced by analysis
files in institutional data repositories.&nbsp;Novel allele contributing to drought
tolerance identified in landrace germplasm and validated through in-silico
analysis of trial and expression data - evidenced via draft publication held in
internal institutional repository.These landrace donors for MLN, TSC and Drought are
listed in the SeeD Product Catalog and are available on request: https://seedsofdiscovery.org/catalogue/MLN:
13 landraces out of 1000 evaluated were identified as having superior tolerance
to MCMV virus, the major component virus of MLN.&nbsp;TSC:
2 landraces and 4 CIMMYT populations have been identified with good resistance
to Tar Spot Complex.&nbsp;



Drought: 52 landraces identified as
donors for resistance to drought out of over 600 evaluated.&nbsp;",,"These are gender neutral products","These are user-age-neutral products","These products enhance capacity of researchers to develop improved varieties","Drought and diseases are challenges associated with climate changes"
136,1,1900-01-01 00:00:00,2200-01-01 00:00:00,223,"Important sets of pre-bred lines and source germplasm was made available for drought tolerance, tar spot disease resistance and maize lethal necrosis tolerance.In addition, progress was made in developing and/or validating novel tools for: 1) discovery and use of novel diversity from germplasm accessions, and 2) enhancing the efficiency of doubled haploid technologies to accelerate breeding progress.Formal capacity development activities, e.g. student thesis projects and formal workshops, are not highlighted in this report, but were/are an important component of FP2 strategy to enhance the effectiveness of MAIZE researchers worldwide.","Drought: 32 lines are listed in the SeeD Product Catalog (https://seedsofdiscovery.org/catalogue/) and are available for distribution. These lines were evaluated as
testcrosses in multi-year, multi-location trials under managed drought
conditions as well as under normal conditions (with irrigation or rain-fed).

TSC: 54 lines are listed in the SeeD Product Catalog and are
available for distribution. These lines have been screened per se for TSC
resistance and evaluated as testcrosses in multi-year, multi-location trials
for yield.",,"Not specifically targeted","Not specifically targeted","These source materials greatly enhance capacity of breeders to develop improved varieties","Drought and diseases are priority traits under climate change"
137,1,1900-01-01 00:00:00,2200-01-01 00:00:00,224,"Strong progress was made in development of improved data management tools for breeding. Genetic markers for use in routine breeding were also deployed during 2018, and a full pipeline of development and validation of additional markers is in progress.","Comparison of
approaches for genotype driven germplasm selection from germplasm banks for
primary phenotypic evaluation for traits of interest conducted and documented,
evidenced by a draft publication in internal institutional repository.

Release of enhanced
Germinate data warehouse (3.4) with new within and cross trial data query
capacities, evidenced byhttp://germinate.seedsofdiscovery.org/maize/.
Development of a
new version of Germinate data warehouse (3.5) facilitating the integration of
and query across data from projects subject to different data licensing terms,
evidenced by institutional installation in an internal staging pre-deployment
environmentGood progress was made in design and development of an enterprise breeding system software for management of breeding programs, integrating use of ""big"" genomic data.Breeder-ready markers were developed for turcicum leaf blight and maize streak virus. Markers are under development or validation for several additional traits, mainly important diseases.",,"These tools and methods are applicable to all breeding traits, gender and non-gender targeted","These tools and methods are applicable to all breeding traits, youth and non-youth targeted","All of these tools enhance capacity for breeders","These tools can be used for traits associated with changing climate"
138,1,1900-01-01 00:00:00,2200-01-01 00:00:00,225,"Novel germplasm is being developed and availed to researchers in the forms of pre-bred lines, and trait-specific source lines and bank accessions.&nbsp;Numerous tools are being developed to manage and utilize data, including software for data analysis and inclusion in breeding selection pipelines. FP2 also identifies haplotypes and markers associated with performance under drought, heat and various biotic stresses (disease tolerances). Several methodologies developed by CIMMYT to measure spike photosynthesis have been validated and shared with users who may apply them in breeding programs.Many capacity development activities enhance the use of FP2 products by researchers worldwide.","8 PhD students from&nbsp;Mexico, Univ.
 of Nottingham, Tunisia and Univ.
 of Barcelona, spent long-term at the IWYP HUB, conducting thesis research.&nbsp;Sixteen Australian (5), United Kingdom (6), China (2), USA (2) and Israeli (1) scientists participated in research at the IWYP HUB.
 

",,,"Training young scientists (e.g. PhDs) is a top priority","Students and visiting scientists' capacities are being enhanced","The focus is on increasing yield under climate change scenario"
139,1,1900-01-01 00:00:00,2200-01-01 00:00:00,226,"Pre-bred materials distributed internationally included 25 new lines of the 6th WYCYT which were grown during the 2017/2018 wheat cycle by 85 collaborators in 39 countries. Other documented germplasm was distributed via ad-hoc seed shipments to WHEAT colleagues and partners.Several methodologies developed by CIMMYT to measure spike photosynthesis have been validated and shared with users who may apply them in breeding programs.","Marker for high biomass and radiation use efficiency identified from an association mapping panel developed at CIMMYT.&nbsp;Singh (2018, Nature Scientific Reports 8:12527) reported favorable haplotypes for grain yield under heat stress, and for yellow rust resistance, contributed by exotic germplasm bank accessions to offspring of crosses with elite lines.",,"not possible for markers and haplotypes to target gender","not possible for markers and haplotypes to target age","These tools enhance the capacity of researchers/breeders to develop improved varieties","Heat, drought, and diseases aggravated by changing climate are all impacting wheat production"
140,1,1900-01-01 00:00:00,2200-01-01 00:00:00,227,"Pre-bred materials distributed internationally included 25 new lines of the 6th WYCYT which were grown during the 2017/2018 wheat cycle by 85 collaborators in 39 countries. Other documented germplasm was distributed via ad-hoc seed shipments to WHEAT colleagues and partners.Several methodologies developed by CIMMYT to measure spike photosynthesis have been validated and shared with users who may apply them in breeding programs.","Several exotic lines in elite background were distributed to WHEAT breeders to serve as sources of drought or heat tolerance, disease resistance, high harvest index, and novel sources for yield adaptive traits. This was achieved via international nurseries and ad-hoc seed shipments to breeders.",,"not possible for chromosomal alleles for heat and drought benefit to target gender","not possible for chromosomal alleles for heat and drought benefit to target youth","Knowledge and germplasm enhance capacity of researchers","Heat and drought, and diseases are targeted traits"
141,1,1900-01-01 00:00:00,2200-01-01 00:00:00,228,"The agCelerant smallholder value-chain platform (ICRISAT, P46) provided over 50,000 farmers with insurance, finance, inputs and advisories. Commitments were secured, in 2018, by Nigeria's Federal Ministry of Agriculture and Rural Development (FMARD) to scale up to 15 million farmers, and by the Islamic Development Bank (IDB) to reach 2 million in the 2019–2024 Regional Rice Value Chain Program (10 countries). International Maize and Wheat Improvement Center (CIMMYT) and IRI (P41) supported an insurance provider serving more than 600,000 farmers in Africa to develop Monitoring and Evaluation (M&amp;E) protocols and to improve design and marketing. FP4 and International Food Policy Research Institute (IFPRI) (P266) initiated an insurance community of practice through webinars and raised visibility through InsuResilience Global Partnership, activities at Microinsurance Conference and COP24.","IWMI (P41) piloted flood insurance in 17 villages (1000 households) in Muzaffarpur
District, Bihar, India. It has been adopted by Bihar Disaster Management
Department and at national level by Ministry of Agriculture - Farmer’s Welfare,
as evidenced by co-financing; and by a World Bank project proposal for Assam
(OCIR2654).https://ccafs.cgiar.org/news/index-based-flood-insurance-torchbearer-reducing-agrarian-distress-india#.XPkyLS3MxEIhttps://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&amp;year=2018&amp;studyID=2654",,"N/A","N/A","P41 worked with governments in India and Sri Lanka to launch flood insurance. Also shared policy brief with government of Bihar on related work. In addition, a wide range of communication activities to engage with local stakeholders, including farmers and their representatives, through videos, brochures and other communication products to raise awareness around the availability of innovative risk management solutions. As a final communication channel, the various workshops have been organized throughout the project duration. Also, P41 participated in Insurance Learning Platform.","P41 is implementing an innovative risk management solution that can help manage climate risks through a climate safety net program."
142,1,1900-01-01 00:00:00,2200-01-01 00:00:00,229,"The agCelerant smallholder value-chain platform (ICRISAT, P46) provided over 50,000 farmers with insurance, finance, inputs and advisories. Commitments were secured, in 2018, by Nigeria's Federal Ministry of Agriculture and Rural Development (FMARD) to scale up to 15 million farmers, and by the Islamic Development Bank (IDB) to reach 2 million in the 2019–2024 Regional Rice Value Chain Program (10 countries). International Maize and Wheat Improvement Center (CIMMYT) and IRI (P41) supported an insurance provider serving more than 600,000 farmers in Africa to develop Monitoring and Evaluation (M&amp;E) protocols and to improve design and marketing. FP4 and International Food Policy Research Institute (IFPRI) (P266) initiated an insurance community of practice through webinars and raised visibility through InsuResilience Global Partnership, activities at Microinsurance Conference and COP24.","ICRISAT (P46) supported development of agCelerant platform to scale up insurance within a suite of value chain services. Nigeria’s Federal Ministry of Agriculture and Rural Development endorsed an insurance roadmap (in 2017), developed with FL4 (P266), CIMMYT (P51), and CCAFS West Africa (P255), but shifted its strategy to partner with agCelerant to scale up insurance (OICR2702).https://hdl.handle.net/10568/89445https://hdl.handle.net/10568/89444https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=2702&amp;cycle=Reporting&amp;year=2018",,"N/A","P46 contributes to the development of the agCelerant inclusive smallholder value chain orchestration platform. Rural youth employment is central to the implementation of agCelerant. ","agCelerant provides a significant opportunity for registered stakeholders to digitalize the management of their business and interactions, including advisories, mobile finance, etc.","P46 will help intensify smallholder agriculture and improve smallholder livelihoods in the Semi-Arid and Sub-Humid Tropics through Inclusive Market-Oriented Development including the mitigation of climate risks and climate change impacts."
143,1,1900-01-01 00:00:00,2200-01-01 00:00:00,230,"FP4 engagement and research outputs contributed to significant advances in 2018, by at least 41 institutions, in services or projects that support farm households’ management of climatic risks. These included National Meteorological Services, Regional Climate Centers; government ministries, agencies and departments; farmer and community organizations; development NGOs; private insurance; agribusiness and communication companies; and development donors. (Evidence: P41, P42, P46, P48, P51, P25, P266, P363).","New climate information was achieved in 2017 (2017 OICR on African met
institutions), enhanced in 2018 at ICPAC, AGRHYMET, Meteo-Rwanda (P266, P363).
Scaling communication was achieved through PICSA adoption in 17 countries
(OICR2583), radio programming in Senegal (P46) and Rwanda (OICR2144), ICT-based
advisories in India (P259) and Nepal CSVs (OICR181).https://research.reading.ac.uk/picsa/https://www.dropbox.com/s/7yqsf12jcboy6uv/CCAFS%20Climate%20Services%20for%20Africa%20Annual%20Report%20FY18.pdf?dl=0https://doi.org/10.3389/fsufs.2019.00021https://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&amp;year=2018&amp;studyID=2583https://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&amp;year=2018&amp;studyID=2144https://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&amp;year=2018&amp;studyID=181",,"A number of projects have implemented activities that include benefits for women, such as in P42 which provides climate information through the LTACs and also implements PICSA, P363 which has also reached women through the PICSA process in Rwanda, and P48 which targets women for improved agroclimatic information","Like with gender, youth are benefiting from the climate information projects. In addition, P363 has some activities specifically targeting youth, through training of the Rwanda Youth in Agribusiness Forum (RYAF). In P46, rural youth employment is central to the agCelerant platform.","Several projects provide training to institutions such as as the NMS as well as training to farmers, for example though the LTACs in Latin America (P42) or PICSA in Rwanda (P363).","All of the project activities intend to provide climate information that will help institutions, agricultural decision makers, and farmers support or move toward climate-smart production systems and climate-resilient livelihood strategies, while protecting from climatic extremes. "
144,1,1900-01-01 00:00:00,2200-01-01 00:00:00,231,"Engagement of major climate service funders included participation in United States Agency for International Development (USAID) Learning Agenda for Climate Services in Sub-Saharan Africa, which aims to strengthen knowledge and evidence base for investment in agricultural climate services in Africa. Progress was also made in shaping pan-Africa climate research strategy through Climate Research for Development (CR4D) Africa; in discussions with Department for International Development (DFID) on its climate service investment programs in Africa and South Asia; and in project-focused discussions with donors including World Bank, Europen Union (EU), Adaptation Fund, and the International Fund for Agricultural Development (IFAD). Work on ex-ante cost-benefit analysis to inform agricultural climate service investment did not progress sufficiently to contribute significantly to guiding climate service investment.","Progress was made engaging USAID and DFID on climate service investment
strategy and on discussions with World Bank, EU, Adaptation Fund, and IFAD
about projects. Through USAID’s Learning Agenda for Climate Services in
Sub-Saharan Africa, FP4 drafted publications (some to be published in 2019)
that aim to inform climate service investment/implementation.https://www.climatelinks.org/projects/learningagendaonclimateserviceshttps://www.climatelinks.org/events/moving-climate-services-forward-systems-perspective",,"N/A","N/A","A number of projects are working with stakeholders, such as governments in Bangladesh and India, SESAN, IDEAM, etc. In addition, P266 contributed to the USAID-supported Learning Agenda on Climate Services. ","Project activities aim to inform investment in climate information and safety nets that will help institutions, agricultural decision makers, and farmers support or move toward climate-smart production systems and climate-resilient livelihood strategies, while protecting from climatic extremes. "
145,1,1900-01-01 00:00:00,2200-01-01 00:00:00,232,"Engagement of major climate service funders included participation in United States Agency for International Development (USAID) Learning Agenda for Climate Services in Sub-Saharan Africa, which aims to strengthen knowledge and evidence base for investment in agricultural climate services in Africa. Progress was also made in shaping pan-Africa climate research strategy through Climate Research for Development (CR4D) Africa; in discussions with Department for International Development (DFID) on its climate service investment programs in Africa and South Asia; and in project-focused discussions with donors including World Bank, Europen Union (EU), Adaptation Fund, and the International Fund for Agricultural Development (IFAD). Work on ex-ante cost-benefit analysis to inform agricultural climate service investment did not progress sufficiently to contribute significantly to guiding climate service investment.","Building on FP4 investment in its design/launch, ongoing CCAFS East
Africa engagement of the Climate Research for Development Africa initiative,
coordinated by ACPC, contributed to its 2018–2022 strategic plan to prioritize
and catalyze climate research responsive to development needs across Africa
(OCIR21). Work on cost-benefit analyses and methods extended into 2019.https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=21&amp;cycle=Reporting&amp;year=2018",,"N/A","N/A","N/A","The economic evaluation of climate services work intends to contribute to improved strategies and evidence for agricultural climate services investments in Africa."
146,1,1900-01-01 00:00:00,2200-01-01 00:00:00,233,"In P42, Bioversity research on gender-differentiated impacts of climate risk on food security informed the design of Guatemala’s food security monitoring and early warning system. In P51, as a result of project engagement, a major agricultural insurance provider, which services about 600,000 farmers across Africa, increased their attention to women and other under-served farmer groups in their product design and Monitoring and Evaluation. In P363, the development of rural climate services in Rwanda aims at gender balance in intermediaries trained and farmers engaged, and gives attention to gender in its Monitoring and Evaluation.","2019 project planning identifies 11 next users that will increase
women's participation in decision-making about climate services and safety
nets.https://www.dropbox.com/s/2g0qkx3dmele38j/Next%20users_women_evidence.pdf?dl=0",,"P42 conducted studies to understand how different factors affect acute food insecurity in vulnerable communities, with a focus on gender aspects.  This research fed into the design of design of SESANs food security monitoring and early warning system. P48 specifically targeted women and other Other organisations are already using publications and material from the project. P51 developed an equity framework for insurance that was shared through a journal article and at conferences. P266 conducted analysis on gender and climate services, which were included in several deliverables, including for the Learning Agenda on Climate Services, which was supported by USAID, the World Bank, and WMO.","N/A","All projects engaged with many institutions to increase women's participation and shared learning and methodologies.","The project activities aim to support women to  move toward climate-smart production systems and climate-resilient livelihood strategies, while protecting from climatic extremes."
147,1,1900-01-01 00:00:00,2200-01-01 00:00:00,234,"Advances in policy: 1) shaping Climate Research for Development Africa 2018-2022 Strategic Plan (OICR#21); 2) Adoption of Local Technical Agroclimatic Committees approach in Regional Strategy for Disaster Risk Management in Agriculture Sector/Food and Nutrition Security in Latin America/Caribbean (OICR#2571); 3) adoption of community-based food security monitoring and early warning system by Guatemalan Secretariat for Food/Nutrition Security, formalized by National Council for Food/Nutrition Security (OICR#151); 4) adoption of CS-MAP climate-risk related maps and adaptation plans by Ministry of Agriculture/Rural Development to adjust rice planting calendar (OICR#2600); and 5) progress in developing National Climate Service Frameworks in Rwanda (OICR#2098) and Colombia.","We
did not find the opportunities to work with countries on international finance.
There was one major effort, but it did not come through. Engagement led to two
opportunities that led to national funding.

",,"N/A","N/A","In P42, engagement with public stakeholders and south-south exchange helped institutionalize the concept of LTACs.  In P363, the project has worked with the government to support the National Framework for Climate Services process in Rwanda and funded some supportive activities.  In SE Asia,  in the CGIAR-R4D on climate change conference, participants learned about the different climate risk management tools developed by CGIAR. In Latin America, P42 has worked with governments to design and implement the LTAC approach. ","All of the project activities intend to provide climate information that will help institutions, agricultural decision makers, and farmers support or move toward climate-smart production systems and climate-resilient livelihood strategies, while protecting from climatic extremes."
148,1,1900-01-01 00:00:00,2200-01-01 00:00:00,235,"Advances in policy: 1) shaping Climate Research for Development Africa 2018-2022 Strategic Plan (OICR#21); 2) Adoption of Local Technical Agroclimatic Committees approach in Regional Strategy for Disaster Risk Management in Agriculture Sector/Food and Nutrition Security in Latin America/Caribbean (OICR#2571); 3) adoption of community-based food security monitoring and early warning system by Guatemalan Secretariat for Food/Nutrition Security, formalized by National Council for Food/Nutrition Security (OICR#151); 4) adoption of CS-MAP climate-risk related maps and adaptation plans by Ministry of Agriculture/Rural Development to adjust rice planting calendar (OICR#2600); and 5) progress in developing National Climate Service Frameworks in Rwanda (OICR#2098) and Colombia.","Prior adoption of the LATC approach by Colombia has been extended
regionally (OICR2571).https://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&amp;year=2018&amp;studyID=2571",,"N/A","N/A","Through south-south exchanges on the LTAC approach, different stakeholders in the region have been able to increase their knowledge on closing the gap between climate science and farmers and technicians at the local level. Representatives from Ministries of Agriculture, Environment and Met Services have been involved in webinars, field trips, meetings and workshops around the LTAC approach.","The LTAC approach is focused on learning how to manage climate variability. Weather forecasts are one of the main outputs for discussion during the LTAC meetings in each country. The approach has enabled understanding of weather data and behavior providing additional information to stakeholders in order to make better decisions on their crops and agricultural activities."
149,1,1900-01-01 00:00:00,2200-01-01 00:00:00,236,"Our food safety evidence is being used by governmental agencies and donors that due to space limitations we cannot list. We described several recent cases in OICR2730 A4NH research informs the design of a $13 million investment in improving food safety; in OICR2780 East African Community (EAC) uses aflatoxin technical papers to prepare aflatoxin policy briefs that are endorsed by the Council of Ministers; and in OICR2782 Aflasafe products to reduce aflatoxin crop contamination are now registered in eight countries.","The East African Community officially launched  nine policy briefs on topics related to crop contamination with aflatoxins and its control. The policy briefs contain key recommendations on strategic policy action and interventions required to mitigate impacts and effects of aflatoxin along the food and feed value chains.",,"N/A","N/A","N/A","Aflatoxin contamination is expected to become more predominant and severe with climate change. Therefore implementing the aflatoxin biocontrol  solution will help to mitigate climate change in a holistic manner."
150,1,1900-01-01 00:00:00,2200-01-01 00:00:00,237,"Our food safety evidence is being used by governmental agencies and donors that due to space limitations we cannot list. We described several recent cases in OICR2730 A4NH research informs the design of a $13 million investment in improving food safety; in OICR2780 East African Community (EAC) uses aflatoxin technical papers to prepare aflatoxin policy briefs that are endorsed by the Council of Ministers; and in OICR2782 Aflasafe products to reduce aflatoxin crop contamination are now registered in eight countries.","Six countries where the Partnership for Aflatoxin Control in Africa (PACA) works - Malawi, Nigeria, Tanzania, Senegal, Gambia and Uganda - prioritized aflatoxin mitigation strategies, including use of Aflasafe as a mitigation tool, developed stakeholder-aligned aflatoxin control action plans, and mainstreamed them into National Agriculture and Food Security Investment Plans.",,"N/A","N/A","N/A","Aflatoxin contamination is expected to become more predominant and severe with climate change. Therefore implementing the aflatoxin control  solution will help to mitigate climate change in a holistic manner "
151,1,1900-01-01 00:00:00,2200-01-01 00:00:00,238,"Our food safety evidence is being used by governmental agencies and donors that due to space limitations we cannot list. We described several recent cases in OICR2730 A4NH research informs the design of a $13 million investment in improving food safety; in OICR2780 East African Community (EAC) uses aflatoxin technical papers to prepare aflatoxin policy briefs that are endorsed by the Council of Ministers; and in OICR2782 Aflasafe products to reduce aflatoxin crop contamination are now registered in eight countries.","Major stakeholders commissioned ILRI to develop key papers: US Agency for International Development (white paper on food safety); Bill and Melinda Gates Foundation/UK Department for International Development (food safety investment report), Agriculture Nutrition and Health Academy (food safety  metrics); and Chatham House (animal source foods in the first 1,000 days).&nbsp;",,"Strong link between gender & food safety documented in multiple papers","N/A","This is key","Many FBD are climate sensitive – also documented and research active in Vietnam on CSFBD"
