pk_id_oics,version,date_from,date_to,id_oics,"title_oics",id_project,"title_project","scope_comments","outcome_impact_statement","gender_relev","youth_relev","capdev_relev","pdf","climate_relev","pk"
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002773,"Gender assessments in aquaculture",1780,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Gender assessments provide a baseline of current knowledge and practices, and guidance on research and development actions required for the future.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002773_266"
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002774,"Gender assessments in fisheries",1780,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Gendered negotiations mediate the capacity to innovate but that wider structural constraints are important constraints for both men and women. The findings show that men's and women's capacity to innovate is strongly mediated by the behavior of their marriage partner. Consequently, gender research from a social relational perspective has an important contribution to make in understanding poor fishing communities where new ways of doing things or new technologies are being promoted. Research has been interpreted into guidance for resource management and development interventions (such as Lawless et al. 2017) Research on application of a gender transformative approach to fish value chains in Zambian fishing camps that combine technical innovation to reduce fish post harvest losses with social innovation to improve gender relations may hold promise for enabling fishery-dependent people to shift pathways out of social-ecological traps","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002774_266"
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002775,"Optimizing multi-use land management practices in Peru",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"FTA research provided a scientific basis for the technical guidance on rates of timber extraction from Brazil Nut concessions.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002775_16"
61,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002776,"Applying political economy analysis of fire and haze to policy development in Indonesia",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"FTA research influenced the development of three national and subnational fire prevention regulations in Indonesia.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002776_16"
62,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002777,"Forest and livelihoods: tracing the influence of agenda setting research",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"FTA research changed how influential actors in the forestry sector valued the contribution of forests to rural livelihoods and influenced the research agendas, career trajectories and professional networks of emerging researchers.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002777_16"
63,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002778,"The adoption of agroforestry technologies by rural residents in Sulawesi",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"636,972 people (52% women) improved their income as a result of adopting AgFor-promoted tree domestication technologies.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002778_16"
64,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002779,"Using contextual information to address bottlenecks in restoration",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"FTA research informed Peru’s National Service for Forestry and Wildlife (SERFOR) strategies for meeting Initiative 20x20 restoration pledges via the use of the forestry plantation sector.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002779_16"
65,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002780,"Enhancing decision-makers’ understanding of policy implications for agroforestry concession holders",1782,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"National agroforestry concession legislation enables land and tree rights underpinning livelihoods for 120,000 households at the Amazon forest frontier.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002780_16"
66,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002781,"Characteristics of maize cultivars in Africa: How modern are they and how many do smallholder farmers grow?",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Maize variety turnover in SSA is slower than what is practiced in the USA and other world regions such as Latin America and Asia. The substantial variations among regions and countries in all parameters measured suggest a tailored approach to mitigation interventions. Findings of this current study pave the way for replacing the old cultivars with more recent releases that are tolerant or resistant to multiple stresses and are more resilient.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002781_18"
67,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002782,"Assessing farmer use of climate change adaptation practices and impacts on food security and poverty in Pakistan and Response to climate risks among smallholder farmers in Malawi",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Results show that younger farmers and farmers with higher levels of education are more likely to use these adaptation practices, as do farmers that are wealthier, farm more land and have joint families. The number of adaptation practices used was found to be positively associated with education, male household heads, land size, household size, extension services, access to credit and wealth. Farmers adopting more adaptation practices had higher food security levels (8–13%) than those who did not, and experienced lower levels of poverty (3–6%). Climate change adaptation practices at farm level can thereby have significant development outcomes in addition to reducing exposure to weather risks. Using household and plot level data collected in 2011, we implement a multivariate probit model to assess the determinants of farmer adaptation behavior to climatic risks and the relative contribution of information, credit and education on the probability of adopting specific practices in response to adverse changes in weather patterns. We find that plot characteristics, credit constraints and availability of climate-related information explain the adoption of several of these practices. In relative terms, we also find that even when financial limitations are binding, making climate-related information available can still motivate farmers to adapt. 
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002782_18"
68,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002783,"Hurdles to / ways to improve upon African farmers’ adopting conservation agriculture practices: Enabling conditions, closing knowledge gaps, technologies’ combination, role of subsidies (Eastern Zambia, Malawi)",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"While there are issues with perceived benefit and relevance, the primary driver of negative evaluation of CA was found to be the feasibility of implementation. The required resources to implement CA (financial, physical, human and informational) are limited by community and institutional constraints which appear unlikely to be overcome through interventions targeted at addressing household resources. More positive evaluation of CA by smallholder farmers requires: (1) development of financially viable CA adoption pathways; (2) incorporation of wider livelihood objectives into a CA ‘package’; (3) re-evaluation of current extension policy; and (4) development of CA-complementary agricultural policies. Without addressing these issues, the potential benefits of CA adoption are unlikely to be achieved in African smallholder systems. The current study focuses on conservation agriculture (CA) technology adoption dynamics among a small group of farmers who can be considered increasingly knowledgeable, as they have hosted CA demonstration-trials for at least 7 years. Management and performance of farmers’ fields were compared with the CA demonstration-trials implemented on the same farm, focusing on yield gaps (YGs) between the two and the uptake of CA or some of its principles. Results show that a higher number of SIPs is associated with higher productivity which is more visible when commercial inputs are used in combination with cultural practices. Results have policy implication: Promoting an integrated use of technologies, instead of a single technology, would have a positive impact on farm productivity and farm household income. Farmers’ access to markets and social capital empirically predicted minimum tillage combined with mulching (MTM) adoption. Policies that increased fertilizer subsidies and extension-staff-to-farmer ratios had similar effects, even if only modestly. Conceivably, subsidies specifically targeted at MTM could also be considered based on their potential environmental and social benefits. We conclude that adoption of MTM still faces the same micro- and macro-level hurdles common to all agricultural technologies. Long-term investments in agricultural extension and reductions in the costs of complementary inputs are critical for the diffusion of MTM. Analysis of situation of Malawi’s Farm Input Subsidy Program (FISP). Using panel data from smallholder farm households, we develop a multivariate probit model and examine how FISP participation affects farmers’ decisions to adopt various NRM technologies, such as intercropping of maize with legumes, use of organic manure, water conservation practices and vegetative strips. As expected, FISP increases the use of inorganic fertilizer and improved maize seeds. 
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002783_18"
69,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002784,"Enhancing Smallholder Access to Agricultural Machinery Services: Lessons from Bangladesh.",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Enabling adequate access through machinery services can thereby significantly contribute to food security and farm incomes. At the core of the service provision model is the lead farmer, who makes the initial investment in agricultural machinery, and provides services to others on a fee-for-service basis. Profiling the lead farmers can thereby provide important lessons and scaling implications. The present paper provides a case study of Bangladesh, using primary data to characterize the lead farmers. General education, credit availability and risk taking attitude play significant roles in whether or not a farm household will be a lead farmer in Bangladesh.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002784_18"
70,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002785,"Ex-ante welfare impacts of adopting maize-soybean rotation in eastern Zambia",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Ex-ante welfare impact analysis showed significant potential income gains and poverty reduction following adoption of maize-legume rotation in eastern Zambia. Paper concludes with implications for policy to promote wider adoption of soil fertility management practices such as maize-soybean rotation for increased maize productivity in Zambia.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002785_18"
71,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002786,"Adoption and farm-level impact of conservation agriculture in Central Ethiopia.",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Soil erosion and degradation is an important agro-ecological challenge in the highlands of Ethiopia. Conservation agriculture (CA) has a long time been identified as one of the key interventions that could abate the current trend of physical and chemical erosion of soil. This study analyzed adoption of the different components of CA (minimal disturbance of soil, permanent organic soil cover, and crop rotation) and herbicide application in two districts of Ethiopia using a multivariate probit model.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002786_18"
72,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002787,"Productivity and Welfare Effects of Nigeria's e-Voucher-Based Input Subsidy Program",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Nigeria has embarked on a potentially innovative mobile phone-based input subsidy program that provides fertilizer and improved seed subsidies through electronic vouchers. Results suggest that the program is effective in improving productivity and welfare outcomes of beneficiary smallholders. The size of the estimated effects suggests a large improvement in productivity and welfare outcomes.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002787_18"
73,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002788,"Impact of Climate Change, Weather Extremes, and Price Risk on Global Food Supply.",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Using seasonal production data, price change and price volatility information at country level, as well as future climate data from 32 global circulation models, we project that climate change could reduce global crop production by 9% in the 2030s and by 23% in the 2050s. Climate change leads to 1–3% higher annual fluctuations of global crop production over the next four decades.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002788_18"
74,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002789,"Improved (drought-tolerant) varieties adoption dynamics in SSA: Malawi, Zambia and Zimbabwe",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"This study assesses the maize adoption responses of food insecure farmers in Malawi, where drought-tolerant (DT) maize was recently introduced. More risk-averse households were more likely to have adopted DT maize, less likely to have adopted other improved maize varieties and less likely to have dis-adopted traditional local maize (LM). Exposure to past drought shocks stimulated adoption of DT maize and dis-adoption of LM. The results reveal drought tolerance, grain yield, covered cob tip, cob size, and semi-flint texture to be the most preferred traits by farm households in Zimbabwe. The WTP estimates show that farmers are willing to pay a premium for drought tolerance equal to 2.56, 7, 3.2, and 5 times higher than for an additional ton of yield per acre, bigger cob size, larger grain size, and covered cob tip, respectively. We suggest designing and implementing innovative ways of promoting DT maize along with awareness-raising activities to enhance contextual understandings of drought and drought risk to speed adoption of new DT maize varieties by risk-prone farming communities. Given the high level of rural literacy and the high rate of adoption of improved maize, trait-based promotion and marketing of varieties constitutes the right strategy. Results showed that adoption of DTMVs increased maize yields by 13.3% and reduced the level of variance by 53% and downside risk exposure by 81% among adopters. This suggests that adoption had a “win-win” outcome by increasing maize yields and reducing exposure to drought risk. The gains in productivity and risk reduction due to adoption led to a reduction of 12.9% in the incidence of poverty and of 83.8% in the probability of food scarcity among adopters. 
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002789_18"
75,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002790,"Farm production, market access and dietary diversity in Malawi.",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Farm production diversity is positively associated with dietary diversity. However, the estimated effects are small. Access to markets for buying food and selling farm produce and use of chemical fertilizers are shown to be more important for dietary diversity than diverse farm production. Results with household- and individual-level dietary data are very similar.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002790_18"
76,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002791,"Agricultural technology adoption and child nutrition enhancement: improved maize varieties in rural Ethiopia.",1783,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Increase in own-produced maize consumption is the major channel through which IMV adoption positively impacts child nutrition.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002791_18"
77,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002792,"Analyzing the pathways to food and nutrition security in Sub-Saharan Africa (SSA)",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"This outcome case study is expected to be submitted to Global Food Security Journal (Gbegbelegbe, S., Alene, A., Chan, C.Y., Diagne, M., Enahoro, D., Fiamohe, R., Kikulwe, E., Marshall, M., Swamikannu, N. , Tesfaye, K., Thomas, T. 2017. Pathways to food and nutrition security in sub-Saharan Africa). This work is done in collaboration with IFPRI through PIM CRP and is under review for publication
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002792_186"
78,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002793,"Establishment of monitoring network with FLAR",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"The monitoring network established with FLAR has collected successfully information on the adoption of improved rice varieties and average rice yields across Latin America. This information has been crucial to establish the foundations of an economic rice observatory for Latin America and the Caribbean expected to be functional by mid-2018
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002793_186"
79,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002794,"Trade-offs in Achieving Food and Nutrition Security at Global and Regional Scales",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"This work was done in collaboration with IFPRI through the PIM CRP. The study discusses trade-offs between agricultural productivity and environmental costs needed to achieve food and nutrition security at global and regional Scales. This work is under review for publication
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002794_186"
80,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002795,"NARES partners equipped with technical know-how to operate satellite-based rice monitoring system in the Philippines",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"IRRI and sarmap successfully equipped PhilRice and Philippines Dept. of Agriculture Regional Field Officers with technical know-how on utilizing satellite and ICT-assisted ground data collection for nationwide rice monitoring system, complementing the existing information generated using conventional methods.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002795_186"
81,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002796,"NARES partners equipped with Rice-pulse monitoring system in Odisha, India",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"IRRI-Odisha project funded by Odisha Sate Government equipped Dept. of Agriculture districts officers, academic institution and other stakeholders with technical know-how on utilizing mobile application based technology to monitor rice-pulse monitoring system.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002796_186"
82,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002797,"Adoption and impact of alternate wetting and drying (AWD) water management for irrigated rice production in the Philippines (Rejesus et al. 2017, final report to SPIA)",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Demonstrated water savings from of 11-17% at the field level and 22-33% at the irrigation turnout level, and GHG emissions reduction at 10% (Rejesus et al., 2017).
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002797_186"
83,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002798,"Competitiveness of Philippine Rice in Asia (Bordey et al., 2016)",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Demonstrated widespread adoption of improved varieties, improved seed quality, and improved fertilizer management practices in Philippines, Thailand, China, Vietnam, Indonesia.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002798_186"
84,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002799,"Inclusiveness of contract farming in rice value chain upgrading in Vietnam",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"As 92% of the surveyed farms were male-headed, which can be interpreted as a gender bias in itself, we were not able to find any gender bias in inclusiveness of contract farming participation.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002799_186"
85,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002800,"Impact and adoption of Rapid Generation Advance in rice breeding by NARES partners",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Three gender gaps were identified in rice breeding around the world as (i) 78% of globally surveyed breeders are male, (ii) a majority of male breeders have a PhD and a third only an MSc degree, while this balance is reversed for female breeders, and (iii) female breeders who are head of their department dispose of only one third of the budget their male counterparts dispose of. Finally, the ages of the rice breeders ranged from 28 to 73 with a mean of 45 years.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002800_186"
86,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002801,"RiceAdvice",1785,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"In addition to links in left side, RiceAdvice and Rice Crop Manager were selected as good practices in e-Agriculture call for good and promising practices in 2017. Publication is in process. 460 agricultural knowledge service providers were trained in use of RiceAdvice in 2017 (unpublished data). 15 and 54% of them were female and youth, respectively. 
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002801_186"
87,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002802,"Identifying high-yield low-emission pathways for the cereal production in South Asia",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,,"0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002802_17"
88,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002803,"Can Sub-Saharan Africa Feed Itself?”",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Focused on 10 countries where cereals make up half of calories in human diets and half the cropland that are part of the Global Yield Gap Atlas, developed using local data to estimate food production capacity on existing cropland. 7 of the 10 countries lack land area to support expansion. Except in Ethiopia and Zambia, cereal yields in most countries are growing more slowly than population and demand, while total cropland area has increased 14% in the last decade. Except for Ethiopia, the countries lag in crop production intensification
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002803_17"
89,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002804,"Changing Food Consumption of Households in Developing Countries: A Bangladesh Case",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Using information from more than 29,000 households, this study demonstrates that increased incomes and urbanization are leading consumers in Bangladesh increasingly to substitute wheat for the traditional rice, both in rural and urban areas, a finding that questions the prevailing premise that, with increasing income, households switch from staple cereals to high food-value items.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002804_17"
90,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002805,"Conservation Agriculture practices impact on air pollution in India",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"Burning rice straw significantly worsens air pollution in India, especially in Delhi and the national Capital. An economical, scalable and sustainable solution is use use of straw management systems on combine harvesters and direct sowing of wheat seed in unplowed soils and rice residue
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002805_17"
91,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002806,"Impacts of Conservation Agriculture practices in South Asia",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,,"0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002806_17"
92,1,1900-01-01 00:00:00,2200-01-01 00:00:00,201700002807,"Gender and innovation processes in wheat-based systems. GENNOVATE Report to the CGIAR Research Program on Wheat. GENNOVATE Research Paper.",1786,"Generic Project to Link the AR2017 Data on CGIAR Program Results Dashboard",,"This report illuminates how gender norms and agency work together to shape access to, adoption of, and benefits from agricultural innovation at the local level. The findings are based on the perspectives and experiences of approximately 2,500 women and men who live and work in 43 villages of Afghanistan, Bangladesh, Ethiopia, India, Morocco, Nepal, Pakistan, and Uzbekistan, where wheat is a key crop.
","0 - Not Targeted","0 - Not Targeted","0 - Not Targeted",,,"201700002807_17"
93,1,1900-01-01 00:00:00,2200-01-01 00:00:00,11,"Impact assessment of the introduction and crowdsourcing on-farm evaluation of wheat and rice varieties on local livelihoods and climate adaptation capacity in Bihar, India",43,"(SA-BIOVERSITY) Outscaling a citizen science approach to test climate adaptation options on farms","Bihar, other parts of IGP",,,,,"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=11&cycle=Reporting&year=2018",,"11_56"
94,1,1900-01-01 00:00:00,2200-01-01 00:00:00,61,"Emerging adoption patterns of Climate-smart agriculural practices and technologies accross 8 Climate-Smart Villages in Latin America, Africa and South Asia",265,"[Flagship Leader] FP2: Engagement, synthesis and support",,,,,,"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=61&cycle=Reporting&year=2018",,"61_56"
95,1,1900-01-01 00:00:00,2200-01-01 00:00:00,121,"Implementation of novel agro-climatic services help more than 500,000 farmers in Colombia, Honduras, Guatemala and Nicaragua better plan their crops",42,"Tailored Agro-Climate Services and food security information for better decision making in Latin America","This is a continuously growing outcome. Currently, more LTACs are being established in all currently included countries, and especially in Guatemala (3 new LTACs), and spillover into El Salvador.","CCAFS scientists developed, tailored and implemented actions to support the implementation of climate services for Agriculture in Colombia, Nicaragua, Honduras and Guatemala. These include the creation of 22 Local Technical Agroclimatic Committees (LTACs), the automation of the Climate Predictability Tool, and the development of capacities in Ministries of Agriculture, farmers organizations, and meteorological services. We compiled evidence to demonstrate that these developments have resulted in 500.000 farmers being able to access agro-climatic information for planning their crops. This achievement is also part of the implementation of the Regional Strategy for Disaster Risk Management in the Agriculture Sector and Food and Nutrition Security in Latin America and the Caribbean (2018–2030), which prioritized as a key action the implementation of the LTAC approach across the region. ","0 - Not Targeted","N/A - Not applicable","2 - Principal","https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=121&cycle=Reporting&year=2018","2 - Principal","121_56"
96,1,1900-01-01 00:00:00,2200-01-01 00:00:00,141,"Ex-ante impact assessment of climate services for agriculture in a bean growing area of Colombia",42,"Tailored Agro-Climate Services and food security information for better decision making in Latin America","N/A",,,,,"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=141&cycle=Reporting&year=2018",,"141_56"
97,1,1900-01-01 00:00:00,2200-01-01 00:00:00,181,"Investment by two Nepalese states in the 'Chief Minister's Climate Smart Agriculture Village Model Program'",259,"[Regional Program Leader] SA: Scaling up/out Climate-Smart Agriculture Technologies, Practices and Services Across South Asia",,"Two States of Nepal implement Climate Smart Village Approach allocating Rs. 368 million per year and target to cover 697,207 hectares of agricultural land and 6 million farming population in five years. ","1 - Significant","1 - Significant","2 - Principal","https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=181&cycle=Reporting&year=2018","1 - Significant","181_56"
98,1,1900-01-01 00:00:00,2200-01-01 00:00:00,211,"Agroclimate information can improve resource-use efficiency ",48,"Enhancing adaptive capacity of women and ethnic minority smallholder farmers through improved agro-climate information in South-­East Asia",,,,,,"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?studyID=211&cycle=Reporting&year=2018",,"211_56"
99,1,1900-01-01 00:00:00,2200-01-01 00:00:00,221," Evaluation of impacts of two enhancements to a rural self-help group model intervention in Bihar, India (JEEViKa), intervention designs of which CGIAR made contributions",344,"Evidence of impacts, impact pathways, synergies and cost-effectiveness of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=221&cycle=Reporting&year=2018",,"221_59"
100,1,1900-01-01 00:00:00,2200-01-01 00:00:00,231," Evaluation of mobile phone technology based nutrition and agriculture advisory services in Tanzania (mHealth) and Ghana (mAgri), intervention designs of which CGIAR made contributions",344,"Evidence of impacts, impact pathways, synergies and cost-effectiveness of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=231&cycle=Reporting&year=2018",,"231_59"
101,1,1900-01-01 00:00:00,2200-01-01 00:00:00,241,"Cluster RCT to assess health and nutrition benefits of informal dairy sector intervention in Nairobi, an intervention designed by CGIAR",344,"Evidence of impacts, impact pathways, synergies and cost-effectiveness of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=241&cycle=Reporting&year=2018",,"241_59"
102,1,1900-01-01 00:00:00,2200-01-01 00:00:00,251,"Evaluation of an integrated package of nutrition and agricultural interventions on diets, health, and nutritional status of women and children...designs of which CGIAR made contributions ",344,"Evidence of impacts, impact pathways, synergies and cost-effectiveness of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=251&cycle=Reporting&year=2018",,"251_59"
103,1,1900-01-01 00:00:00,2200-01-01 00:00:00,281,"Impact evaluation comparing four different modalities to integrate nutrition with agricultural programs in Bangladesh and India, intervention designs of which CGIAR made contributions",344,"Evidence of impacts, impact pathways, synergies and cost-effectiveness of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=281&cycle=Reporting&year=2018",,"281_59"
104,1,1900-01-01 00:00:00,2200-01-01 00:00:00,311," Evaluation to assess the feasibility of integrating a package of maternal nutrition interventions in existing...health services in India, intervention designs of which CGIAR made contributions",345,"Tools and methods to assess and deliver impact of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=311&cycle=Reporting&year=2018",,"311_59"
105,1,1900-01-01 00:00:00,2200-01-01 00:00:00,321,"Evaluation of an intervention strategy (of which CGIAR made contributions) that embeds a package...in Mali and Burkina Faso; in Senegal, an evaluation of the feasibility...",345,"Tools and methods to assess and deliver impact of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=321&cycle=Reporting&year=2018",,"321_59"
106,1,1900-01-01 00:00:00,2200-01-01 00:00:00,331,"Evaluation of household-based approach to improve nutritional status of women and children under two years of age...an intervention design of which CGIAR made contributions",345,"Tools and methods to assess and deliver impact of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=331&cycle=Reporting&year=2018",,"331_59"
107,1,1900-01-01 00:00:00,2200-01-01 00:00:00,341,"Evaluation research to strengthen understanding of pathways through which self-help groups can improve nutrition through agriculture-nutrition interventions in India, designs of which CGIAR made contributions",345,"Tools and methods to assess and deliver impact of nutrition-sensitive agricultural programs",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=341&cycle=Reporting&year=2018",,"341_59"
108,1,1900-01-01 00:00:00,2200-01-01 00:00:00,371,"Stories of Change, state-level in India",347,"Evidence on enabling environments, effective decision making processes and impacts of nutrition-sensitive agricultural policies",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=371&cycle=Reporting&year=2018",,"371_59"
109,1,1900-01-01 00:00:00,2200-01-01 00:00:00,381,"Process evaluation of a mobile phone innovation in the Integrated Child Development Services program in India, an intervention design of which CGIAR made contributions",347,"Evidence on enabling environments, effective decision making processes and impacts of nutrition-sensitive agricultural policies",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=381&cycle=Reporting&year=2018",,"381_59"
110,1,1900-01-01 00:00:00,2200-01-01 00:00:00,391,"Maternal nutrition evaluation to gain insights on diets and nutritional practices during pregnancy in India,an intervention design of which CGIAR made contributions",347,"Evidence on enabling environments, effective decision making processes and impacts of nutrition-sensitive agricultural policies",,,,,,"https://marlo.cgiar.org/projects/A4NH/studySummary.do?studyID=391&cycle=Reporting&year=2018",,"391_59"
