pk_id_innovation_info;version;date_from;date_to;project_innovation_id;"title";"narrative";"evidence_link";"gender";"youth";"pdf"
56;1;1900-01-01 00:00:00;2199-12-31 23:59:59;100;"Assessing the Potential of Climate Smart Agriculture in Large Rice Field Models in Vietnam";"This study assesses the economic, social, and environmental impacts of Large Field Models (LFMs) and their potential for promoting Climate-Smart Agriculture (CSA). Results of this study show that LFMs offer the opportunity to apply CSA principles, reduced production costs, the potential for knowledge sharing, and reduced greenhouse gas (GHG) emissions.";"https://ccafs.cgiar.org/blog/vietnam%E2%80%99s-large-field-models-and-potential-climate-smart-agriculture#.WyoYcYUzaM-";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=100&phaseID=11"
57;1;1900-01-01 00:00:00;2199-12-31 23:59:59;101;"Innovative underground storage for mitigating water disasters and building climate resilience";"A new innovation (UTFI) has been developed that converts water-related disasters into rural livelihood opportunities that enhances community resilience. Piloting has been successful and influenced policy in India with plans for next-level scaling-up. The solution has just been recognized by the UN in World Water Development Report for 2018.";"http://www.unwater.org/publications/world-water-development-report-2018/";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=101&phaseID=11"
58;1;1900-01-01 00:00:00;2199-12-31 23:59:59;108;"Collected measures of farmer preferences over risk and ambiguity using direct elicitation and behavioral games in a large sample";"We collected endline data on risk and ambiguity aversion for the sample that comprised the census for the study. This is a sample of over 13,000 households and is the largest every collection of such data, which will be used to analyze how risk and ambiguity preferences affect technology adoption.";"N/A";"0 - Not Targeted";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=108&phaseID=12"
59;1;1900-01-01 00:00:00;2199-12-31 23:59:59;109;"Testing an approach to screen and treat maternal depression through group therapy to improve newborn child outcomes in Ethiopia";"This approach screens new mothers for depression and offers treatment through interpersonal therapy in groups (IPT-G).  Maternal post-partum depression is associated with poorer child outcomes and IPT-G can alleviate depression symptom.  This study will test whether cash transfers boost effectiveness of IPT-G for improving child outcomes in Ethiopia.";"https://www.dropbox.com/s/toz25n4zc0caurm/SPIR%20DFSA%20Learning%20Agenda%20Inception%20Report%2020171107_rev.pdf?dl=0";"2 - Principal objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=109&phaseID=12"
60;1;1900-01-01 00:00:00;2199-12-31 23:59:59;110;"Assessing the role of design features and context in social protection programs’ impacts on intimate partner violence (IPV)";"Studies in Ecuador, Bangladesh, and Mali show how design features (e.g., transfer modality, complementary programming) and context (e.g., household structure) shape the magnitude and sustainability of cash transfer programs’ effects on IPV. New work in Ethiopia will explore how adding treatment of maternal depression to social protection programming affects IPV.";"https://pim.cgiar.org/2018/03/05/cash-transfer-programs-and-intimate-partner-violence-lessons-from-3-case-studies-around-the-globe/";"2 - Principal objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=110&phaseID=12"
61;1;1900-01-01 00:00:00;2199-12-31 23:59:59;111;"Assessing strategies to improve resilience for the poor in fragile and low-income settings";"Studies in Mali and Yemen assess the effectiveness of social protection programs in fragile and low-income settings, particularly conflict-affected areas, through opportunistic data collection in regions where conflict broke out while research was ongoing. New work in Ethiopia explicitly tests alternative strategies to reach the poor in a fragile setting.";"N/A";"1 - Significant objective";"0 - Not Targeted";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=111&phaseID=12"
62;1;1900-01-01 00:00:00;2199-12-31 23:59:59;113;"Using smartphone technology to introduce affordable high-quality crop insurance";"We were able to validate picture-based insurance in a proof of concept phase, in terms of farmers being able to take pictures of sufficiently high quality and experts being able to identify visible damage. Future research were work towards automating loss assessment.";"https://www.ifpri.org/project/PBInsurance";"0 - Not Targeted";"1 - Significant objective";"https://marlo.cgiar.org/summaries/PIM/projectInnovationSummary.do?innovationID=113&phaseID=12"
63;1;1900-01-01 00:00:00;2199-12-31 23:59:59;117;"Zinc Rice: BRRI Dhan84";"variety of biofortified zinc rice";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=117&phaseID=14"
64;1;1900-01-01 00:00:00;2199-12-31 23:59:59;118;"Vitamin A Orange Maize: LY1001-14";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=118&phaseID=14"
65;1;1900-01-01 00:00:00;2199-12-31 23:59:59;119;"Iron beans: NCC 34";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";" http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=119&phaseID=14"
66;1;1900-01-01 00:00:00;2199-12-31 23:59:59;120;"Vitamin A Orange Sweet Potato: IDIAP C9017";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=120&phaseID=14"
67;1;1900-01-01 00:00:00;2199-12-31 23:59:59;121;"Vitamin A Orange Sweet Potato: IDIAP C0317";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=121&phaseID=14"
68;1;1900-01-01 00:00:00;2199-12-31 23:59:59;122;"Vitamin A Orange Maize: RAHA02 (HP942-15)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=122&phaseID=14"
69;1;1900-01-01 00:00:00;2199-12-31 23:59:59;123;"Vitamin A Orange Maize: RAHA04 (HP942-12)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=123&phaseID=14"
70;1;1900-01-01 00:00:00;2199-12-31 23:59:59;124;"Vitamin A Orange Maize: RAHA01 (GV665A)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=124&phaseID=14"
71;1;1900-01-01 00:00:00;2199-12-31 23:59:59;125;"Vitamin A Orange Maize: RAHA03 (ST50-13)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=125&phaseID=14"
72;1;1900-01-01 00:00:00;2199-12-31 23:59:59;126;"Iron Beans: ICTA Chorti-ACM (SMN 39)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=126&phaseID=14"
73;1;1900-01-01 00:00:00;2199-12-31 23:59:59;127;"Zinc Wheat: HPBW-01 (Ankur Shiva)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=127&phaseID=14"
74;1;1900-01-01 00:00:00;2199-12-31 23:59:59;128;"Zinc Wheat: WB-02";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=128&phaseID=14"
75;1;1900-01-01 00:00:00;2199-12-31 23:59:59;129;"Zinc Wheat: BARI-Gom33";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=129&phaseID=14"
76;1;1900-01-01 00:00:00;2199-12-31 23:59:59;130;"Zinc Maize: DICTA B03";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=130&phaseID=14"
77;1;1900-01-01 00:00:00;2199-12-31 23:59:59;131;"Zinc Maize: DICTA B02";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=131&phaseID=14"
78;1;1900-01-01 00:00:00;2199-12-31 23:59:59;132;"Zinc Wheat: BHU-31";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=132&phaseID=14"
79;1;1900-01-01 00:00:00;2199-12-31 23:59:59;133;"Zinc Wheat: BHU-25";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=133&phaseID=14"
80;1;1900-01-01 00:00:00;2199-12-31 23:59:59;134;"Iron Beans: INTA BIOF100 (SMR 100)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=134&phaseID=14"
81;1;1900-01-01 00:00:00;2199-12-31 23:59:59;135;"Iron Millet: DHBH 1211";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=135&phaseID=14"
82;1;1900-01-01 00:00:00;2199-12-31 23:59:59;136;"Iron Millet: AHB 1200 (MH 2072)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=136&phaseID=14"
83;1;1900-01-01 00:00:00;2199-12-31 23:59:59;137;"Iron Millet: HHB 299 (MH 2076)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=137&phaseID=14"
84;1;1900-01-01 00:00:00;2199-12-31 23:59:59;139;"Vitamin A Orange Maize: Sammaz 52 (PVA SYN 13)";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=139&phaseID=14"
85;1;1900-01-01 00:00:00;2199-12-31 23:59:59;140;"Vitamin A Orange Cassava: YBI2011/323 ";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=140&phaseID=14"
86;1;1900-01-01 00:00:00;2199-12-31 23:59:59;141;"Vitamin A Orange Cassava: GKA 2011/274";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=141&phaseID=14"
87;1;1900-01-01 00:00:00;2199-12-31 23:59:59;142;"Vitamin A Orange Cassava: MVZ 2011B/360";"As with the 260+ biofortified varieties released in the past, these varieties not only have higher levels of micronutrients but are also high-yielding, climate-smart, and carry other attributes farmers and consumers look for.  ";"http://www.harvestplus.org/knowledge-market/in-the-news/biofortification%E2%80%99s-growing-global-reach";"1 - Significant objective";"1 - Significant objective";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=142&phaseID=14"
88;1;1900-01-01 00:00:00;2199-12-31 23:59:59;143;"Nutrition sensitive value chains framework";"Value chain approaches can provide useful frameworks to examine the food system and the potential to achieve improved nutritional outcomes. The nutrition-sensitive value chain framework provides a lens to understand the links between value chains, the overall business environment in which they operate, and nutrition among targeted populations. ";"https://marlo.cgiar.org/projects/CCAFS/studySummary.do?cycle=Reporting&year=2017&studyID=2221";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=143&phaseID=14"
89;1;1900-01-01 00:00:00;2199-12-31 23:59:59;144;"Community outreach nutrition education materials";"Community outreach nutrition education materials on improved recipes using locally available nutrient dense foods based on outputs of linear programming";"https://drive.google.com/open?id=12Ix6FpUgYgLmIPya2c8cQxTyMy9r10Zf";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=144&phaseID=14"
90;1;1900-01-01 00:00:00;2199-12-31 23:59:59;145;"Multi-sectoral policy platform to promote best pratices and pilot programs around biodiversity in Kenya";"The platform is important in terms of leveraging biodiversity to enhance dietary diversity and nutrition and to take advantage of the current interest around improving nutrition and agriculture linkages and are linked to already existing national mechanisms targeting nutrition such as the Nutrition Interagency Coordinating Committee.";"https://panorama.solutions/en/solution/kenyas-school-food-revolution";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=145&phaseID=14"
91;1;1900-01-01 00:00:00;2199-12-31 23:59:59;146;"Solar panel drier for beans and amaranth in Kenya and Uganda";"Environmentally friendly low-cost post-harvest technology (Solar panel drier) piloted in Kenya and Uganda for beans and amaranth (grains, leaves)";"http://blog.ciat.cgiar.org/12382/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=146&phaseID=14"
92;1;1900-01-01 00:00:00;2199-12-31 23:59:59;147;"Self reporting dietary intake tool for use in low literacy populations";"A self reporting dietary intake tool for use in low literacy populations";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=147&phaseID=14"
93;1;1900-01-01 00:00:00;2199-12-31 23:59:59;148;"Experimental game played between input dealers and farmers";"Piloted a game being played between input dealers and farmers in a lab-in-field experiment in Bangladesh.  Experiment was adapted from lab experiments conducted among college students in the US ";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=148&phaseID=14"
94;1;1900-01-01 00:00:00;2199-12-31 23:59:59;149;"Foresight tool for nutrition management practice in Vietnam";"Research on a foresight tool for nutrition management practice in Vietnam;Its output can be used as a scientific foresight tool that can predict the nutrition vulnerability of each province/city for nutrition management practice of National Institute of Nutrition in Vietnam";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=149&phaseID=14"
95;1;1900-01-01 00:00:00;2199-12-31 23:59:59;150;"More evidence on positive effects of consumption of iron biofortified beans in Rwanda";"Within the context of an RCT in Rwanda, one group of female college students consumed iron biofortified beans and another group consumed conventional beans. Results showed that the consumption of iron biofortified beans positively affected the cognitive performance of the young women in the treatment group. ";"https://academic.oup.com/jn/article/147/11/2109/4743232";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=150&phaseID=14"
96;1;1900-01-01 00:00:00;2199-12-31 23:59:59;151;"Aflasafe product for the Gambia and Senegal made available for commercial use ";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/2017/09/21/technology-leap-for-senegal-and-the-gambia-to-combat-aflatoxin-in-food/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=151&phaseID=14"
97;1;1900-01-01 00:00:00;2199-12-31 23:59:59;152;"Aflasafe product for Kenya";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";;"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=152&phaseID=14"
98;1;1900-01-01 00:00:00;2199-12-31 23:59:59;153;"Aflasafe BF01 product for Burkina Faso and potentially 10 other countires in the Sahel";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/ ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=153&phaseID=14"
99;1;1900-01-01 00:00:00;2199-12-31 23:59:59;154;"Aflasafe product GH01 and GH02 for Ghana";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/ ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=154&phaseID=14"
100;1;1900-01-01 00:00:00;2199-12-31 23:59:59;155;"Aflasafe product for Nigeria";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/ ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=155&phaseID=14"
101;1;1900-01-01 00:00:00;2199-12-31 23:59:59;156;"Aflasafe product ZM01 and ZM02 for Zambia";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=156&phaseID=14"
102;1;1900-01-01 00:00:00;2199-12-31 23:59:59;157;"Aflasafe product TZ01 and TZ02 for Tanzania";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=157&phaseID=14"
103;1;1900-01-01 00:00:00;2199-12-31 23:59:59;158;"Aflasafe MWMZ01 product for Malawi and Mozambique";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=158&phaseID=14"
104;1;1900-01-01 00:00:00;2199-12-31 23:59:59;159;"Aflasafe MW02 for Malawi";"Biocontrol approach to preventing aflatoxin from growing in crops like maize and groundnuts";"https://aflasafe.com/aflasafe-where-i-am/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=159&phaseID=14"
105;1;1900-01-01 00:00:00;2199-12-31 23:59:59;160;"Stories of Change approach";"Stories of Change is a structured case study approach which systematically assesses and analyzes drivers of nutritional change in specific country contexts. These resulting ‘stories’ improve our understanding of what drives impact in reducing undernutrition, and how enabling environments and pro-nutrition policy and implementation processes can be cultivated and sustained. ";"https://www.sciencedirect.com/science/article/pii/S2211912416301006";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=160&phaseID=14"
106;1;1900-01-01 00:00:00;2199-12-31 23:59:59;161;"District nutrition profiles for India";"District Nutrition Profiles (640 districts) draw on diverse sources of data to compile a set of indicators on the state of nutrition and its cross-sectoral determinants. The profiles are intended to be conversation-starters about why undernutrition levels are high, and which factors might need to be addressed to improve nutrition.";"http://poshan.ifpri.info/category/publications/district-nutrition-profiles/";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=161&phaseID=14"
107;1;1900-01-01 00:00:00;2199-12-31 23:59:59;162;"Implementation Notes";"Implementation Notes summarize experiences related to how specific interventions or programs are delivered. They are intended to share information on innovations in delivery.  The latest set of Implementation Notes documents nine examples of program initiatives that have attempted to improve the quality of young children’s diets in India.";"http://poshan.ifpri.info/category/publications/implementation-notes/  (lead contributor to technical team)";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=162&phaseID=14"
108;1;1900-01-01 00:00:00;2199-12-31 23:59:59;163;"Data Notes for India ";"Data Notes focus on data visualization to highlight geographic and/or thematic issues related to nutrition in India. They draw on multiple sources of publicly available data.";"http://poshan.ifpri.info/category/publications/data-notes/";"? - Too early to tell";;"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=163&phaseID=14"
109;1;1900-01-01 00:00:00;2199-12-31 23:59:59;164;"Pro-WEAI";"GAAP2 provides a platform for developing and piloting a project-level version of the Women’s Empowerment in Agriculture Index, or pro-WEAI, which will consist of a refined, tested, minimal set of core indicators of women’s empowerment in agriculture, accompanied by additional modules adaptable to the needs of specific projects.";"http://weai.ifpri.info/2018/04/16/pro-weai-a-new-tool-for-measuring-womens-empowerment-in-agricultural-development-projects/";"2 - Principal objective";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=164&phaseID=14"
110;1;1900-01-01 00:00:00;2199-12-31 23:59:59;165;"Food safety technology: insecticide treated nets";"Piloting the impact of insecticide-treated material to reduce flies among pork outlets in Kampala, Uganda. ";"http://hdl.handle.net/10568/80969 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=165&phaseID=14"
111;1;1900-01-01 00:00:00;2199-12-31 23:59:59;166;"Food safety technology: waste storage";"Piloting an experimental excreta storage system in Vietnam";"http://hdl.handle.net/10568/78162  ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=166&phaseID=14"
112;1;1900-01-01 00:00:00;2199-12-31 23:59:59;167;"Food safety technology: kernel sorting";"Piloting multi-spectral kernel sorting to reduce aflatoxins and fumonisins in Kenyan maize";"http://hdl.handle.net/10568/80020";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=167&phaseID=14"
113;1;1900-01-01 00:00:00;2199-12-31 23:59:59;168;"Surveillance tool for FBD: Time Series Analysis";"Piloting of time series analysis based on two-part models for excessive zero count data to detect farm-level outbreaks of swine echinococcosis during meat inspections";"http://hdl.handle.net/10568/90647 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=168&phaseID=14"
114;1;1900-01-01 00:00:00;2199-12-31 23:59:59;169;"Food safety technology: genetic resistance & fertiliser";"Research on potential of using host plant resistance, nitrogen and phosphorus fertilizers for reduction of Aspergillus flavus colonization and aflatoxin accumulation in maize in Tanzania";"http://hdl.handle.net/10568/78201 ";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=169&phaseID=14"
115;1;1900-01-01 00:00:00;2199-12-31 23:59:59;170;"Research tool: metagenomics for improving food safety";"Metagenomics in food safety: What's the added value? Case studies from the livestock sector in Tanzania and Uganda";"http://hdl.handle.net/10568/89560";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=170&phaseID=14"
116;1;1900-01-01 00:00:00;2199-12-31 23:59:59;171;"Research tool: System dynamics model for improving food safety";"Systems approaches for value chain interventions targeting food safety and animal health in smallholder pig value chains";"http://hdl.handle.net/10568/90979";"? - Too early to tell";"? - Too early to tell";"https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=171&phaseID=14"
